what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1331358285760
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1331358285761
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1331358285761
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1331358285762
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1331358285763
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1331358285764
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1331358285764
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1331358285765
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1331358285765
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1331358285765
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1331358285766
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1331358285767
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1331358285767
os,sysinfo,,,"win32",1331358285770
arch,sysinfo,,,"x86",1331358285770
ws,sysinfo,,,"win32",1331358285770
locale,sysinfo,,,"en_US",1331358285770
processors,sysinfo,,,"4",1331358285770
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331358285770
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1331358285770
java.specification.name,sysinfo,,,"Java Platform API Specification",1331358285770
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331358285770
java.specification.version,sysinfo,,,"1.6",1331358285770
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331358285770
java.version,sysinfo,,,"1.6.0_29",1331358285770
java.vm.info,sysinfo,,,"mixed mode, sharing",1331358285770
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1331358285770
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331358285770
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331358285770
java.vm.specification.version,sysinfo,,,"1.0",1331358285770
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331358285770
java.vm.version,sysinfo,,,"20.4-b02",1331358285770
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1331358286865
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1331358287497
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1331358295947
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1331358315891
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1331358393672
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1331358396358
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1331358398681
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1331358398741
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1331358398919
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090610-1638,"org.eclipse.dltk.testing",1331358398920
stopped,bundle,org.eclipse.dltk.debug.ui,1.0.1.v20091111-1837,"org.eclipse.dltk.debug.ui",1331358398921
stopped,bundle,org.eclipse.dltk.formatter,1.0.1.v20090903-2153,"org.eclipse.dltk.formatter",1331358398922
stopped,bundle,org.eclipse.dltk.rse.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.rse.ui",1331358398922
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.externalchecker",1331358398923
stopped,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.ui",1331358398923
stopped,bundle,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui",1331358398924
stopped,bundle,org.eclipse.php.debug.ui,2.1.1.v20090921-1100,"org.eclipse.php.debug.ui",1331358398924
